dataset,columna,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
df_raw_argenprop,altura,160.0,2149.86875,1454.6259720334128,0.0,100.0,195.00000000000003,1000.0,1900.0,2925.0,4704.999999999998,5200.0,5600.0
df_raw_argenprop,unidad,0.0,,,,,,,,,,,
df_raw_argenprop,barrio,0.0,,,,,,,,,,,
df_raw_argenprop,localidad,0.0,,,,,,,,,,,
df_raw_argenprop,partido,0.0,,,,,,,,,,,
df_raw_argenprop,provincia,0.0,,,,,,,,,,,
df_raw_argenprop,pais,0.0,,,,,,,,,,,
df_raw_argenprop,codigo_postal,0.0,,,,,,,,,,,
df_raw_argenprop,latitud,0.0,,,,,,,,,,,
df_raw_argenprop,longitud,0.0,,,,,,,,,,,
df_raw_argenprop,ambientes,108.0,2.638888888888889,0.9217854812917423,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0
df_raw_argenprop,dormitorios,133.0,1.8045112781954886,0.8389987414349407,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0
df_raw_argenprop,banios,72.0,3.8055555555555554,14.685087663579369,1.0,1.0,1.0,1.0,1.0,2.0,3.0,90.0,90.0
df_raw_argenprop,toilettes,0.0,,,,,,,,,,,
df_raw_argenprop,cocheras,3.0,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.0,1.0,1.5,1.9,1.98,2.0
df_raw_argenprop,superficie_total_m2,149.0,66.26926174496644,45.057124674248314,18.0,24.92,29.0,37.0,49.0,85.0,147.19999999999996,227.44000000000023,300.0
df_raw_argenprop,superficie_cubierta_m2,7.0,86.70285714285716,64.87511868050434,31.47,32.049,34.365,41.224999999999994,52.0,120.5,184.99999999999997,196.99999999999997,200.0
df_raw_argenprop,superficie_descubierta_m2,0.0,,,,,,,,,,,
df_raw_argenprop,superficie_semicubierta_m2,0.0,,,,,,,,,,,
df_raw_argenprop,superficie_terreno_m2,0.0,,,,,,,,,,,
df_raw_argenprop,frente_m,0.0,,,,,,,,,,,
df_raw_argenprop,fondo_m,0.0,,,,,,,,,,,
df_raw_argenprop,antiguedad_anios,0.0,,,,,,,,,,,
df_raw_argenprop,estado_inmueble,0.0,,,,,,,,,,,
df_raw_argenprop,disposicion,0.0,,,,,,,,,,,
df_raw_argenprop,orientacion,0.0,,,,,,,,,,,
df_raw_argenprop,luminosidad,0.0,,,,,,,,,,,
df_raw_argenprop,cantidad_plantas,0.0,,,,,,,,,,,
df_raw_argenprop,cantidad_pisos_edificio,0.0,,,,,,,,,,,
df_raw_argenprop,departamentos_por_piso,0.0,,,,,,,,,,,
df_raw_argenprop,apto_credito,0.0,,,,,,,,,,,
df_raw_argenprop,apto_profesional,0.0,,,,,,,,,,,
df_raw_argenprop,permite_mascotas,0.0,,,,,,,,,,,
df_raw_argenprop,accesibilidad,0.0,,,,,,,,,,,
df_raw_argenprop,amoblado,0.0,,,,,,,,,,,
df_raw_argenprop,balcon,0.0,,,,,,,,,,,
df_raw_argenprop,terraza,0.0,,,,,,,,,,,
df_raw_argenprop,patio,0.0,,,,,,,,,,,
df_raw_argenprop,jardin,0.0,,,,,,,,,,,
df_raw_argenprop,parrilla,0.0,,,,,,,,,,,
df_raw_argenprop,pileta,0.0,,,,,,,,,,,
df_raw_argenprop,sum,0.0,,,,,,,,,,,
df_raw_argenprop,gimnasio,0.0,,,,,,,,,,,
df_raw_argenprop,sauna,0.0,,,,,,,,,,,
df_raw_argenprop,laundry,0.0,,,,,,,,,,,
df_raw_argenprop,baulera,0.0,,,,,,,,,,,
df_raw_argenprop,ascensor,0.0,,,,,,,,,,,
df_raw_argenprop,seguridad_24h,0.0,,,,,,,,,,,
df_raw_argenprop,vigilancia,0.0,,,,,,,,,,,
df_raw_argenprop,aire_acondicionado,0.0,,,,,,,,,,,
df_raw_argenprop,calefaccion,0.0,,,,,,,,,,,
df_raw_argenprop,losa_radiante,0.0,,,,,,,,,,,
df_raw_argenprop,gas_natural,0.0,,,,,,,,,,,
df_raw_argenprop,agua_corriente,0.0,,,,,,,,,,,
df_raw_argenprop,electricidad,0.0,,,,,,,,,,,
df_raw_argenprop,cloaca,0.0,,,,,,,,,,,
df_raw_argenprop,internet,0.0,,,,,,,,,,,
df_raw_argenprop,vista_rio,0.0,,,,,,,,,,,
df_raw_argenprop,vista_abierta,0.0,,,,,,,,,,,
df_raw_argenprop,reciclado,0.0,,,,,,,,,,,
df_raw_argenprop,a_refaccionar,0.0,,,,,,,,,,,
df_raw_argenprop,cantidad_imagenes,162.0,8.679012345679013,0.6465803115047035,4.0,6.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0
df_raw_argenprop,video_url,0.0,,,,,,,,,,,
df_raw_argenprop,tour_virtual_url,0.0,,,,,,,,,,,
df_raw_argenprop,cantidad_atributos_extra,162.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
df_raw_argenprop,jsonld_raw,0.0,,,,,,,,,,,
df_raw_zonaprop,pagina_origen,980.0,4.966326530612245,2.5877626636105795,1.0,1.0,1.0,3.0,5.0,7.0,9.0,9.0,9.0
df_raw_zonaprop,http_status,980.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
df_raw_zonaprop,parse_ok,980.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
df_raw_zonaprop,descripcion,0.0,,,,,,,,,,,
df_raw_zonaprop,tipo_propiedad,0.0,,,,,,,,,,,
df_raw_zonaprop,estado_publicacion,0.0,,,,,,,,,,,
df_raw_zonaprop,fecha_publicacion,0.0,,,,,,,,,,,
df_raw_zonaprop,seller_id,0.0,,,,,,,,,,,
df_raw_zonaprop,precio,972.0,325571.0740740741,517343.85599349585,380.0,500.0,685.5,2000.0,125000.0,490000.0,1200000.0,2389149.999999995,4900000.0
df_raw_zonaprop,expensas,654.0,93.53669724770643,79.63518098769804,3.0,25.53,32.0,43.0,62.5,118.0,252.35000000000002,380.52000000000044,672.0
df_raw_zonaprop,precio_m2_calculado,967.0,4463.096028955533,6844.496856048781,7.5,9.5026,14.0,22.155,2109.55,3773.3,20820.172,26470.59,35714.29
df_raw_zonaprop,altura,0.0,,,,,,,,,,,
df_raw_zonaprop,unidad,0.0,,,,,,,,,,,
df_raw_zonaprop,barrio,0.0,,,,,,,,,,,
df_raw_zonaprop,localidad,0.0,,,,,,,,,,,
df_raw_zonaprop,partido,0.0,,,,,,,,,,,
df_raw_zonaprop,provincia,0.0,,,,,,,,,,,
df_raw_zonaprop,pais,0.0,,,,,,,,,,,
df_raw_zonaprop,codigo_postal,0.0,,,,,,,,,,,
df_raw_zonaprop,latitud,0.0,,,,,,,,,,,
df_raw_zonaprop,longitud,0.0,,,,,,,,,,,
df_raw_zonaprop,ambientes,975.0,2.674871794871795,1.4003279019691148,1.0,1.0,1.0,2.0,2.0,4.0,5.0,7.0,10.0
df_raw_zonaprop,dormitorios,766.0,1.9373368146214098,1.1996688906493873,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.350000000000023,21.0
df_raw_zonaprop,banios,925.0,1.5621621621621622,0.8739097571936496,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0
df_raw_zonaprop,toilettes,0.0,,,,,,,,,,,
df_raw_zonaprop,cocheras,64.0,7.09375,26.26405519408789,1.0,1.0,1.0,2.0,2.0,2.25,14.699999999999989,118.72999999999968,200.0
df_raw_zonaprop,superficie_total_m2,975.0,98.3323076923077,90.4814883009884,19.0,27.0,33.0,44.0,65.0,120.0,260.5999999999999,411.26,1119.0
df_raw_zonaprop,superficie_cubierta_m2,49.0,77.08163265306122,66.23029163919064,3.0,3.96,9.4,34.0,57.0,95.0,216.19999999999985,287.9599999999996,335.0
df_raw_zonaprop,superficie_descubierta_m2,0.0,,,,,,,,,,,
df_raw_zonaprop,superficie_semicubierta_m2,0.0,,,,,,,,,,,
df_raw_zonaprop,superficie_terreno_m2,0.0,,,,,,,,,,,
df_raw_zonaprop,frente_m,0.0,,,,,,,,,,,
df_raw_zonaprop,fondo_m,0.0,,,,,,,,,,,
df_raw_zonaprop,antiguedad_anios,0.0,,,,,,,,,,,
df_raw_zonaprop,estado_inmueble,0.0,,,,,,,,,,,
df_raw_zonaprop,disposicion,0.0,,,,,,,,,,,
df_raw_zonaprop,orientacion,0.0,,,,,,,,,,,
df_raw_zonaprop,luminosidad,0.0,,,,,,,,,,,
df_raw_zonaprop,cantidad_plantas,0.0,,,,,,,,,,,
df_raw_zonaprop,cantidad_pisos_edificio,0.0,,,,,,,,,,,
df_raw_zonaprop,departamentos_por_piso,0.0,,,,,,,,,,,
df_raw_zonaprop,apto_credito,0.0,,,,,,,,,,,
df_raw_zonaprop,apto_profesional,0.0,,,,,,,,,,,
df_raw_zonaprop,permite_mascotas,0.0,,,,,,,,,,,
df_raw_zonaprop,accesibilidad,0.0,,,,,,,,,,,
df_raw_zonaprop,amoblado,0.0,,,,,,,,,,,
df_raw_zonaprop,balcon,0.0,,,,,,,,,,,
df_raw_zonaprop,terraza,0.0,,,,,,,,,,,
df_raw_zonaprop,patio,0.0,,,,,,,,,,,
df_raw_zonaprop,jardin,0.0,,,,,,,,,,,
df_raw_zonaprop,parrilla,0.0,,,,,,,,,,,
df_raw_zonaprop,pileta,0.0,,,,,,,,,,,
df_raw_zonaprop,sum,0.0,,,,,,,,,,,
df_raw_zonaprop,gimnasio,0.0,,,,,,,,,,,
df_raw_zonaprop,sauna,0.0,,,,,,,,,,,
df_raw_zonaprop,laundry,0.0,,,,,,,,,,,
df_raw_zonaprop,baulera,0.0,,,,,,,,,,,
df_raw_zonaprop,ascensor,0.0,,,,,,,,,,,
df_raw_zonaprop,seguridad_24h,0.0,,,,,,,,,,,
df_raw_zonaprop,vigilancia,0.0,,,,,,,,,,,
df_raw_zonaprop,aire_acondicionado,0.0,,,,,,,,,,,
df_raw_zonaprop,calefaccion,0.0,,,,,,,,,,,
df_raw_zonaprop,losa_radiante,0.0,,,,,,,,,,,
